SNOMED conceptID;SNOMED term;Google translate vertaalde term;Thot vertaalde term medisch woordenboek;Matecat vertaling
307195003;Laparoscopic gastroenterostomy;laparoscopische gastro - enterostomie;laparoscopische gastro - enterostomie;Laparoscopische gastroenterostomy
307253003;Nerve graft;zenuwtransplantaat;zenuwtransplantaat;Zenuw graft
307262001;Extraperitoneal incision;extraperitoneale incisie;extraperitoneale incisie;Extraperitoneal incisie
307558008;Decompression of intestine;Decompressie van de darm;decompressie van de darm;Decompressie van darm
307584002;Cecoplasty;Cecoplasty;cecoplasty;Cecoplasty
307719001;Hysteroscopy and endometrial biopsy;Hysteroscopie en endometriumbiopsie;hysteroscopie en endometriumbiopsie;Hysteroscopie en endometrium biopsie
307770005;Diagnostic bronchoscopy;diagnostische bronchoscopie;diagnostische bronchoscopie;Diagnostische bronchoscopie
308001003;Epididymogram;Epididymogram;epididymogram;Epididymogram
308025006;Primary laser excision of thoracic intervertebral disc;Primaire laser excisie van thoracale tussenwervelschijf;primaire laser excisie van thoracale tussenwervelschijf;Primaire laser excisie van thoracale tussenwervelschijf
308411004;Child immunization recall;Kind immunisatie recall;kind immunisatie recall;Kind immunisatie terugroepen
308417000;Cervical smear recall;Uitstrijkje recall;uitstrijkje recall;Uitstrijkje recall
308427006;Hypertension screening recall;Hypertensie screening recall;hypertensie screening recall;Hypertensie screening terugroepen
308430004;Chronic disease recall;Chronische ziekte recall;chronische ziekte recall;Chronische ziekte recall
308432007;Immunization recall;immunisatie recall;immunisatie recall;Immunisatie terugroepen
308963000;Intravascular injection;intravasculaire injectie;intravasculaire injectie;Intravasculaire injectie
309448001;Hormone manipulation;hormoon manipulatie;hormoon manipulatie;Hormoon manipulatie
309467002;Neurological observation regime;Neurologische observatie regime;neurologische observatie regime;Neurologische observatie regime
309468007;Cardiovascular observation regime;Cardiovasculaire observatie regime;cardiovasculaire observatie regime;Cardiovasculaire observatie regime
309513005;Cardiovascular therapy;cardiovasculaire therapie;cardiovasculaire therapie;cardiovasculaire therapie
309516002;Neurological therapy;neurologische therapie;neurologische therapie;Neurologische therapie
309541009;Metabolic therapy;metabole therapie;metabole therapie;Metabole therapie
309698005;Continuous infusion of chemotherapy;Continue infusie van chemotherapie;continue infusie van chemotherapie;Continue infusie van chemotherapie
309871009;Ureterorenoscopy and biopsy;Ureterorenoscopy en biopsie;ureterorenoscopy en biopsie;Ureterorenoscopy en biopsie
310636007;Continuous infusion of heparin;Continue infusie van heparine;continue infusie van heparine;Continu infuus van heparine
311401005;Patient education;pati ë ntenvoorlichting;pati ë ntenvoorlichting;Pati ë nteneducatie
311555007;Speech and language therapy regimes;Logopedie regimes;logopedie regimes;Logopedie regimes
311567009;Oral motor stimulation;Orale motorische stimulatie;orale motorische stimulatie;Orale motorische stimulatie
311587005;Mirroring for speech;Mirroring voor spraak;mirroring voor spraak;Mirroring voor spraak
311592007;Language regimes;taal regimes;taal regimes;taal regimes
311608007;Auditory retention therapy;Auditieve retentie therapie;auditieve retentie therapie;Auditieve retentie therapie
311621000;Imagery therapy;Imagery therapie;imagery therapie;Beelden therapie
311660003;Cueing for speech;Cueing voor spraak;cueing voor spraak;Cueing voor spraak
311662006;Physical cueing for speech;Fysieke cueing voor spraak;fysieke cueing voor spraak;Fysieke cueing voor spraak
311706001;Oral motor therapy;Orale motorische therapie;orale motorische therapie;Orale motorische therapie
312340001;Temporary percutaneous endoscopic gastrostomy;Tijdelijke percutane endoscopische gastrostomie;tijdelijke percutane endoscopische gastrostomie;Tijdelijke Percutane endoscopische gastrostomy
312341002;Permanent percutaneous endoscopic gastrostomy;Permanente percutane endoscopische gastrostomie;permanente percutane endoscopische gastrostomie;Permanente Percutane endoscopische gastrostomy
312681000;Bone density scan;Botdichtheid scan;botdichtheid scan;Botscan dichtheid
312973004;Viscocanulostomy;Viscocanulostomy;viscocanulostomy;Viscocanulostomy
313049000;Augmentation of glenoid;Augmentation van glenoid;augmentation van glenoid;Vergroting van gleno ï de
313053003;Augmentation of talus;Augmentation van talus;augmentation van talus;Vergroting van de talus
313092005;Electromagnetic energy therapy;Elektromagnetische energie therapie;elektromagnetische energie therapie;Elektromagnetische energie - therapie
313456003;Hemoglobin acid electrophoresis;Hemoglobine zuur elektroforese;hemoglobine zuur elektroforese;elektroforese van hemoglobine
314118002;Laparoscopic total splenectomy;Laparoscopische totale splenectomie;laparoscopische totale splenectomie;Laparoscopische totale splenectomie
314121000;Bilateral guillotine tonsillectomy;Bilaterale guillotine tonsillectomie;bilaterale guillotine tonsillectomie;Bilaterale guillotine tonsillectomie
314590000;Drainage of intersphincteric abscess;Drainage van intersphincteric abces;drainage van intersphincteric abces;Drainage van intersphincteric abces
314593003;Posterior gastrojejunostomy;posterior gastrojejunostomie;posterior gastrojejunostomie;posterior gastrojejunostomie
314597002;Thoracoscopic splanchnicectomy;thoracoscopic splanchnicectomy;thoracoscopic splanchnicectomy;thoracoscopic splanchnicectomy
314971001;Camera fundoscopy;camera fundoscopie;camera fundoscopie;camera fundoscopie
315028004;Contrast radiography via drain;Contrast radiografie via drain;contrast radiografie via drain;Contrast radiografie via drain
315044008;First aid training;Eerste hulp training;eerste hulp training;Eerste hulp training
315144005;Legionella immunofluorescence;Legionella immunofluorescentie;legionella immunofluorescentie;Legionella immunofluorescentie
315165004;Paraprotein typing by immunofixation;Paraprote ï ne typering door immunofixatie;paraprote ï ne typering door immunofixatie;Paraprote ï ne typering door immunofixatie
315172003;Plasma streptomycin level;Plasma streptomycine niveau;plasma streptomycine niveau;Plasma streptomycine niveau
315190002;Serum streptomycin level;Serum streptomycine niveau;serum streptomycine niveau;Serum streptomycine niveau
315233008;Primary prevention;Primaire preventie;primaire preventie;primaire preventie
315234002;Secondary prevention;Secundaire preventie;secundaire preventie;secundaire preventie
315292000;Contrast swallow;contrast zwaluw;contrast zwaluw;contrast zwaluw
315300001;Excision of labia;Excisie van labia;excisie van labia;Excisie van labia
315601005;Ambulatory chemotherapy;ambulante chemotherapie;ambulante chemotherapie;ambulante chemotherapie
334835009;Pneumonostomy with open drainage;Pneumonostomy met open drainage;pneumonostomy met open drainage;Pneumonostomy met open drainage
341939001;Extracorporeal hemofiltration;extracorporele hemofiltratie;extracorporele hemofiltratie;extracorporele hemofiltratie
341943002;Atrioventriculostomy;Atrioventriculostomy;atrioventriculostomy;Atrioventriculostomy
344994008;Intraventricular pacing;intraventriculaire pacing;intraventriculaire pacing;intraventriculaire pacing
347747004;Corneoconjunctivoplasty;Corneoconjunctivoplasty;corneoconjunctivoplasty;Corneoconjunctivoplasty
349896009;Excision of perianal lesion;Excisie van perianale laesie;excisie van perianale laesie;Excisie van perianale laesie
359594005;Duodenorrhaphy;Duodenorrhaphy;duodenorrhaphy;Duodenorrhaphy
359595006;Miller operation;Miller operatie;miller operatie;Miller operatie
359599000;Jejunopexy;Jejunopexy;jejunopexy;Jejunopexy
359607004;Ileopexy;Ileopexy;ileopexy;Ileopexy
359659005;Echography;echografie;echografie;echografie
359665005;Ambulation training;Ambulation training;ambulation training;Ambulation training
359860002;Colotomy for biopsy;Colotomy voor biopsie;colotomy voor biopsie;Colotomy voor biopsie
359899005;Mastorrhaphy;Mastorrhaphy;mastorrhaphy;Mastorrhaphy
359948004;Cyclodiathermy;Cyclodiathermy;cyclodiathermy;Cyclodiathermy
359951006;Cycloelectrolysis;Cycloelectrolysis;cycloelectrolysis;Cycloelectrolysis
359972009;Pleural poudrage;pleura poudrage;pleura poudrage;pleura poudrage
359980002;Vaginal panhysterectomy;vaginale panhysterectomy;vaginale panhysterectomy;vaginale panhysterectomy
361184007;Intrapetrosal drainage;Intrapetrosal drainage;intrapetrosal drainage;Intrapetrosal drainage
361228004;Hymenoptera immunotherapy;Hymenoptera immunotherapie;hymenoptera immunotherapie;Hymenoptera immunotherapie
361230002;Structural psychotherapy;structurele psychotherapie;structurele psychotherapie;structurele psychotherapie
361259002;Cystoscopy and cystodiathermy;Cystoscopie en cystodiathermy;cystoscopie en cystodiathermy;Cystoscopie en cystodiathermy
361260007;Cystoscopy and cauterization of bladder;Cystoscopie en cauterisatie van de blaas;cystoscopie en cauterisatie van de blaas;Cystoscopie en cauterisatie van de blaas
363071007;Diagnostic endoscopy;diagnostische endoscopie;diagnostische endoscopie;diagnostische endoscopie
363105001;Endoscopic dilation;endoscopische dilatatie;endoscopische dilatatie;endoscopische dilatatie
363145005;Immune system endoscopy;Immuunsysteem endoscopie;immuunsysteem endoscopie;Immuunsysteem endoscopie
363147002;Immune system incision;Immuunsysteem incisie;immuunsysteem incisie;Immuunsysteem incisie
363149004;Immune system physical examination;Immuunsysteem lichamelijk onderzoek;immuunsysteem lichamelijk onderzoek;Immuunsysteem lichamelijk onderzoek
363153002;Immune system transplantation;Immuunsysteem transplantatie;immuunsysteem transplantatie;Immuunsysteem transplantatie
363200002;Mechanical stimulation;mechanische stimulatie;mechanische stimulatie;mechanische stimulatie
363742001;Pyloroplasty;pyloroplastiek;pyloroplastiek;pyloroplastiek
365681005;Examination of cells;Onderzoek van cellen;onderzoek van cellen;Onderzoek van cellen
367336001;Chemotherapy;chemotherapie;chemotherapie;Chemotherapie
367446003;Achillotomy;Achillotomy;achillotomy;achillotomie
367476005;Colpoepisiorrhaphy;Colpoepisiorrhaphy;colpoepisiorrhaphy;Colpoepisiorrhaphy
370836008;Monitoring physiological parameters;Monitoring fysiologische parameters;monitoring fysiologische parameters;Monitoring fysiologische parameters
370871008;Ambulation therapy;Ambulation therapie;ambulation therapie;Ambulation therapie
371003002;Ureterogram;Ureterogram;ureterogram;Ureterogram
371133007;Treatment modification;behandeling modificatie;behandeling modificatie;behandeling modificatie
371345007;Laser iridotomy;laser iridotomie;laser iridotomie;laser iridotomie
371910005;Atrioventricular sequential pacing;Atrioventriculaire sequenti ë le pacing;atrioventriculaire sequenti ë le pacing;Atrioventriculaire sequenti ë le pacing
372267008;Biopsy of extrahepatic bile duct;Biopsie van extrahepatische galwegen;biopsie van extrahepatische galwegen;Biopsie van extrahepatische galwegen
384635005;Full postnatal examination;Volledige postnatale onderzoek;volledige postnatale onderzoek;Volledige postnatale onderzoek
384723003;Radical mastectomy;radicale mastectomie;radicale mastectomie;radicale mastectomie
384731008;Vitamin radiobioassay;vitamine radiobioassay;vitamine radiobioassay;vitamine radiobioassay
384733006;Hormone radiobioassay;hormoon radiobioassay;hormoon radiobioassay;hormoon radiobioassay
384734000;Radiobioassay;Radiobioassay;radiobioassay;Radiobioassay
385757000;Venous catheter care;Veneuze katheter zorg;veneuze katheter zorg;Veneuze katheter zorg
385992003;Discipline promotion;discipline promotie;discipline promotie;discipline promotie
386194005;Cystolitholapaxy;Cystolitholapaxy;cystolitholapaxy;Cystolitholapaxy
386230005;Case management;Case management;case management;ES Casemanagement
386253006;Cutaneous stimulation;cutane stimulatie;cutane stimulatie;cutane stimulatie
386278005;Elopement precautions;elopement voorzorgsmaatregelen;elopement voorzorgsmaatregelen;elopement voorzorgsmaatregelen
386281000;Embolus precautions;embolie voorzorgsmaatregelen;embolie voorzorgsmaatregelen;embolie voorzorgsmaatregelen
386308007;First aid;Eerste hulp;eerste hulp;Eerste Hulp bij Ongevallen
386310009;Flatulence reduction;flatulentie reductie;flatulentie reductie;flatulentie reductie
386345001;Laser precautions;laser voorzorgsmaatregelen;laser voorzorgsmaatregelen;laser voorzorgsmaatregelen
386387004;Peer review;Peer review;peer review;Collegiale toetsing
386425008;Pneumatic tourniquet precautions;Pneumatische tourniquet voorzorgsmaatregelen;pneumatische tourniquet voorzorgsmaatregelen;Pneumatische tourniquet voorzorgsmaatregelen
386436001;Shock prevention;shock preventie;shock preventie;shock preventie
386446004;Staff development;personeelsontwikkeling;personeelsontwikkeling;scholing van het personeel
386562007;Fetal cranioclasis;foetale cranioclasis;foetale cranioclasis;foetale cranioclasis
386607008;Iridotomy;iridotomie;iridotomie;iridotomie
386625001;Nonobstetric trachelotomy;Nonobstetric trachelotomy;nonobstetric trachelotomy;Nonobstetric trachelotomy
386634006;Bilateral orchidectomy;bilaterale orchidectomie;bilaterale orchidectomie;bilaterale orchidectomie
386652006;Colocystoplasty;Colocystoplasty;colocystoplasty;Colocystoplasty
386722005;Endoscopic retrograde cholangiography;Endoscopische retrograde cholangiografie;endoscopische retrograde cholangiografie;Endoscopische retrograde cholangiografie
386727004;Percutaneous transluminal cardiac valvotomy;Percutane transluminale cardiale valvotomy;percutane transluminale cardiale valvotomy;Percutane transluminale cardiale valvotomy
386770004;Dissection of vascular bundle;Dissectie van vasculaire bundel;dissectie van vasculaire bundel;Dissectie van vasculaire bundel
386787002;Ureterorenoscopy;Ureterorenoscopy;ureterorenoscopy;Ureterorenoscopy
386788007;Transurethral ureterorenoscopy;transurethrale ureterorenoscopy;transurethrale ureterorenoscopy;transurethrale ureterorenoscopy
387641007;Thoracectomy;Thoracectomy;thoracectomy;Thoracectomy
387644004;Supracervical hysterectomy;supracervicale hysterectomie;supracervicale hysterectomie;supracervicale hysterectomie
387657007;Bilateral labiectomy;bilaterale labiectomy;bilaterale labiectomy;bilaterale labiectomy
387669004;Bevan orchidopexy;Bevan orchidopexie;bevan orchidopexie;Bevan orchidopexie
387671004;Ombredanne orchidopexy;Ombredanne orchidopexie;ombredanne orchidopexie;Ombredanne orchidopexie
387684008;Transmetacarpal amputation;Transmetacarpal amputatie;transmetacarpal amputatie;Transmetacarpal amputatie
387723007;Drainage of midpalmar space;Drainage van midpalmar ruimte;drainage van midpalmar ruimte;Drainage van midpalmar ruimte
387729006;Bougienage of urethra;Bougienage van de urethra;bougienage van de urethra;Bougienage van de urethra
387731002;Laminectomy;laminectomie;laminectomie;laminectomie
387747000;Cauterization of lung;Cauterisatie van de long;cauterisatie van de long;Cauterisatie van de long
387828005;Myocardial biopsy;myocard biopsie;myocard biopsie;biopsie van het myocard
387865007;Gastrocentesis;Gastrocentesis;gastrocentesis;Gastrocentesis
389149000;Schiotz tonometry;Schiotz tonometrie;schiotz tonometrie;Schiotz tonometrie
389269000;Surgical precautions;chirurgische voorzorgsmaatregelen;chirurgische voorzorgsmaatregelen;chirurgische voorzorgsmaatregelen
390841005;Referral to retinal screener;Verwijzing naar het netvlies screener;verwijzing naar het netvlies screener;Verwijzing naar het netvlies screener
390976008;Urine cortisol/creatinine ratio;Urine cortisol / creatinine ratio;urine cortisol / creatinine ratio;Urine cortisol / creatinine ratio
390979001;Serum alkaline phosphatase electrophoresis;Serum alkalische fosfatase elektroforese;serum alkalische fosfatase elektroforese;Serum alkalische fosfatase elektroforese
390996000;Plasma lactate level;Plasma lactaat niveau;plasma lactaat niveau;Plasma lactaat niveau
391089005;Urine deoxypyridinoline/creatinine ratio;Urine deoxypyridinoline / creatinine ratio;urine deoxypyridinoline / creatinine ratio;Urine deoxypyridinoline / creatinine ratio
391090001;Urine normetadrenaline/creatinine ratio;Urine normetadrenaline / creatinine ratio;urine normetadrenaline / creatinine ratio;Urine normetadrenaline / creatinine ratio
391091002;Urine metadrenaline/creatinine ratio;Urine metadrenaline / creatinine ratio;urine metadrenaline / creatinine ratio;Urine metadrenaline / creatinine ratio
391245000;Gram stain microscopy;Gramkleuring microscopie;gramkleuring microscopie;Gramkleuring microscopie
391371004;Bone marrow trephine examination;Beenmerg trephine onderzoek;beenmerg trephine onderzoek;Beenmerg trephine onderzoek
391401002;Deoxypyridinoline/creatinine ratio;Deoxypyridinoline / creatinine ratio;deoxypyridinoline / creatinine ratio;Deoxypyridinoline / creatinine ratio
391403004;Serum glutamic acid level;Serum glutaminezuur niveau;serum glutaminezuur niveau;Serum glutaminezuur niveau
391425005;Serum methadone level;Serum methadon niveau;serum methadon niveau;Serum methadon niveau
391427002;Concentrate microscopy;concentraat microscopie;concentraat microscopie;concentraat microscopie
391463002;Urine phencyclidine level;Urine fencyclidine niveau;urine fencyclidine niveau;Urine fencyclidine niveau
391465009;Blood ketone level;Bloed keton niveau;bloed keton niveau;Bloed keton niveau
391479001;Plasma renin level;Plasma renine niveau;plasma renine niveau;Plasma renine niveau
391480003;Urine clinitest;urine Clinitest;urine clinitest;urine Clinitest
391501004;Plasma pyruvate level;Plasma pyruvaat niveau;plasma pyruvaat niveau;Plasma pyruvaat niveau
391503001;Urine immunofixation;urine immunofixatie;urine immunofixatie;urine immunofixatie
391505008;Plasma citrulline level;Plasma citrulline niveau;plasma citrulline niveau;Plasma citrulline niveau
391529001;Plasma manganese level;Plasma mangaan niveau;plasma mangaan niveau;Plasma mangaan niveau
391545004;Plasma methadone level;Plasma methadon niveau;plasma methadon niveau;Plasma methadon niveau
391555000;Serum immunofixation;serum immunofixatie;serum immunofixatie;serum immunofixatie
391556004;Serum chloramphenicol level;Serum chlooramfenicol niveau;serum chlooramfenicol niveau;Serum chlooramfenicol niveau
391562009;Plasma chromium level;Plasma chroom niveau;plasma chroom niveau;Plasma chroom niveau
391566007;Serum chromium level;Serum chroom niveau;serum chroom niveau;Serum chroom niveau
391988000;Inversion of tunica vaginalis;Inversie van tunica vaginalis;inversie van tunica vaginalis;Inversie van tunica vaginalis
391993002;Tubotubal anastomosis;Tubotubal anastomose;tubotubal anastomose;Tubotubal anastomose
391996005;Salpingosalpingostomy;Salpingosalpingostomy;salpingosalpingostomy;Salpingosalpingostomy
392003006;Colposcopy;colposcopie;colposcopie;Colposcopie
394613000;Gene therapy;Gentherapie;gentherapie;Gentherapie
394663005;Serum citrulline level;Serum citrulline niveau;serum citrulline niveau;Serum citrulline niveau
394683006;Diabetic foot risk assessment;Diabetische voet risicobeoordeling;diabetische voet risicobeoordeling;Diabetic foot risk assessment
394960005;Arterial blood lactate level;Arterieel bloed lactaat niveau;arterieel bloed lactaat niveau;Arterieel bloed lactaat niveau
395066006;Serum alpha-2 macroglobulin level;Serum alfa - 2 - macroglobuline niveau;serum alfa - 2 - macroglobuline niveau;Serum alpha - 2 macroglobulin niveau
395074007;Selectron therapy;Selectron therapie;selectron therapie;Selectron therapie
395075008;Iridium wire therapy;Iridium draad therapie;iridium draad therapie;Iridium draad therapie
395133005;Renin and aldosterone;Renine en aldosteron;renine en aldosteron;Renine en aldosteron
395140006;Primary intestinal anastomosis;Primaire intestinale anastomose;primaire intestinale anastomose;Primaire intestinale anastomose
396225009;Sigmoidoscopy with biopsy;Sigmo ï doscopie met biopsie;sigmo ï doscopie met biopsie;Sigmo ï doscopie met biopsie
396450009;Vaginoperineotomy;Vaginoperineotomy;vaginoperineotomy;Vaginoperineotomy
396451008;Prothrombin time;protrombinetijd;protrombinetijd;Protrombinetijd
396490007;Myringoplasty;myringoplastiek;myringoplastiek;Myringoplasty
396692006;Radical orchiectomy;radicale orchidectomie;radicale orchidectomie;Radicale orchiectomy
396769003;Postoperative thyroidotomy;postoperatieve thyroidotomy;postoperatieve thyroidotomy;Postoperatieve thyroidotomy
397045002;Arterial embolectomy;arteri ë le embolectomie;arteri ë le embolectomie;embolectomie van een slagader
397110008;Keratectomy for pterygium;Keratectomie voor pterygium;keratectomie voor pterygium;Keratectomy voor pterygium
397167004;Mazet amputation;Mazet amputatie;mazet amputatie;Mazet amputatie
397202000;Cauterization of hemorrhoids;Cauterisatie van aambeien;cauterisatie van aambeien;Cauterisatie van aambeien
397219003;Guyon amputation;Guyon amputatie;guyon amputatie;Guyon amputatie
397394009;Bronchoalveolar lavage;bronchoalveolaire lavage;bronchoalveolaire lavage;bronchoalveolaire lavage
397403008;Diaphragm pacing;diafragma pacing;diafragma pacing;diafragma pacing
397404002;Laparoscopic diaphragm pacing;Laparoscopische diafragma pacing;laparoscopische diafragma pacing;Laparoscopische middenrif pacing
397516006;Photorefractive keratectomy;fotorefractieve keratectomie;fotorefractieve keratectomie;Fotorefractieve keratectomy
397524001;Retinoscopy;retinoscopie;retinoscopie;Retinoscopy
397557004;Corneal esthesiometry;cornea esthesiometry;cornea esthesiometry;Hoornvlies esthesiometry
397636002;Fibrinogen titer;fibrinogeen titer;fibrinogeen titer;Fibrinogeen titer
397804006;Intubation of esophagus;Intubatie slokdarm;intubatie slokdarm;Intubatie van slokdarm
397805007;Conjunctivorhinostomy;Conjunctivorhinostomy;conjunctivorhinostomy;Conjunctivorhinostomy
397892004;Retrograde intubation;retrograde intubatie;retrograde intubatie;retrograde intubatie
397953007;Padding of pressure points;Padding van drukpunten;padding van drukpunten;Opvulling van drukpunten
397989004;Conjunctivodacryocystostomy;Conjunctivodacryocystostomy;conjunctivodacryocystostomy;Conjunctivodacryocystostomy
398205000;Diagnosis of brainstem death;Diagnose van hersenstam dood;diagnose van hersenstam dood;Diagnose van de hersenstam dood
398213004;Log roll;Log roll;log roll;Log roll
398219000;Change of percutaneous biliary drainage catheter;Verandering van percutane galwegdrainage katheter;verandering van percutane galwegdrainage katheter;Verandering van percutane galwegdrainage katheter
398230002;Aspiration of middle ear;Aspiratie van middenoor;aspiratie van middenoor;Aspiratie van het middenoor
398326002;Auditory function test;Auditieve functietest;auditieve functietest;Auditieve functietest
398740003;Colostomy;colostomie;colostomie;Colostomie
399019003;Nuclear medicine diagnostic procedure;Nucleaire geneeskunde diagnostische procedure;nucleaire geneeskunde diagnostische procedure;Nucleaire geneeskunde diagnostische procedure
399032008;Salpingohysterostomy;Salpingohysterostomy;salpingohysterostomy;Salpingohysterostomy
399202009;Transmetatarsal amputation;transmetatarsale amputatie;transmetatarsale amputatie;Transmetatarsal amputatie
399203004;Neuromuscular diagnostic procedure;Neuromusculaire diagnostische procedure;neuromusculaire diagnostische procedure;Neuromusculaire diagnostische procedure
399472007;Resection of extrahepatic bile duct;Resectie van de extrahepatische galwegen;resectie van de extrahepatische galwegen;Resectie van extrahepatic gal duct
401020005;Urinary cortisol analysis;Urine cortisol analyse;urine cortisol analyse;Analyse van de urine cortisol
401024001;Serum diazepam level;Serum diazepam niveau;serum diazepam niveau;Serum diazepam niveau
401025000;Plasma diazepam level;Plasma diazepam niveau;plasma diazepam niveau;Plasma diazepam niveau
401032009;Urine diazepam level;Urine diazepam niveau;urine diazepam niveau;Urine diazepam niveau
401101005;Serum vitamin level;Serum vitamine niveau;serum vitamine niveau;Serum vitamine niveau
401226007;Vertebroplasty;vertebroplastiek;vertebroplastiek;VERTEBROPLASTY
401258002;Fecal lactose level;Fecale lactose niveau;fecale lactose niveau;Fecale lactose niveau
401259005;Fecal fructose level;Fecale fructose niveau;fecale fructose niveau;Fecale fructose niveau
401260000;Serum ketone level;Serum keton niveau;serum keton niveau;Serum keton niveau
404637003;Gonioplasty;Gonioplasty;gonioplasty;gonioplastiek
405289006;Excision of vascular neoplasm;Excisie van vasculaire neoplasma;excisie van vasculaire neoplasma;Excisie van vasculaire neoplasma
405309005;Axillobifemoral bypass graft with prosthesis;Axillobifemoral bypass met prothese;axillobifemoral bypass met prothese;Axillobifemoral bypass graft met prothese
405441000;Transtarsal amputation;Transtarsal amputatie;transtarsal amputatie;Transtarsal amputatie
405704002;Cisternography;cisternografie;cisternografie;Cisternography
405824009;Genetic test;genetische test;genetische test;Genetische test
405932002;Compartmentectomy;Compartmentectomy;compartmentectomy;Compartmentectomy
406600006;Rabies prophylaxis;hondsdolheid profylaxe;hondsdolheid profylaxe;Rabi ë s profylaxe
407665006;Digoxin prophylaxis;digoxine profylaxe;digoxine profylaxe;Digoxine profylaxe
407677001;Plasma pancreatic polypeptide level;Plasma pancreas polypeptide niveau;plasma pancreas polypeptide niveau;Plasma alvleesklier polypeptide niveau
407685005;Plasma glutamic acid level;Plasma glutaminezuur niveau;plasma glutaminezuur niveau;Plasma glutaminezuur niveau
407689004;Plasma methylmalonic acid level;Plasma methylmalonzuur niveau;plasma methylmalonzuur niveau;Plasma methylmalonic zuur niveau
407690008;Urine methylmalonic acid level;Urine methylmalonzuur niveau;urine methylmalonzuur niveau;Urine methylmalonic zuur niveau
407696002;Urine oxalate/creatinine ratio;Urine oxalaat / creatinine ratio;urine oxalaat / creatinine ratio;Urine oxalaat / creatinine ratio
407720006;Amylase clearance;amylase klaring;amylase klaring;Amylase goedkeuring
408177002;Serum tryptase level;Serum tryptase niveau;serum tryptase niveau;Serum tryptase niveau
408215009;Cryptosporidium microscopy;Cryptosporidium microscopie;cryptosporidium microscopie;Cryptosporidium microscopie
408241003;Serum methylmalonic acid level;Serum methylmalonzuur niveau;serum methylmalonzuur niveau;Serum methylmalonic zuur niveau
408652004;13C urea breath test;13C ureum ademtest;13c ureum ademtest;13C - ureum adem test
408693007;Vitropression;Vitropression;vitropression;vitropressie
408736005;Surgical pneumothorax;chirurgische pneumothorax;chirurgische pneumothorax;Chirurgische pneumothorax
408762001;Photoscreening;Photoscreening;photoscreening;Photoscreening
408865005;Handwashing precautions;handwashing voorzorgsmaatregelen;handwashing voorzorgsmaatregelen;Wassen van de handen voorzorgsmaatregelen
409524006;Airborne precautions;Airborne voorzorgsmaatregelen;airborne voorzorgsmaatregelen;Airborne voorzorgsmaatregelen
409529001;Contact precautions;Contact voorzorgsmaatregelen;contact voorzorgsmaatregelen;Neem contact op met voorzorgsmaatregelen
409582008;Isolation precautions;isolatie voorzorgsmaatregelen;isolatie voorzorgsmaatregelen;Isolatie voorzorgsmaatregelen
409978001;Self-examination;Zelfonderzoek;zelfonderzoek;Zelfonderzoek
409980007;Skin self-examination;Huid zelfonderzoek;huid zelfonderzoek;Zelfonderzoek
410323000;Bonding case management;Bonding case management;bonding case management;Verlijmen van Casemanagement
410331005;Durable medical equipment case management;Duurzame medische apparatuur case management;duurzame medische apparatuur case management;Casebeheer voor duurzaam medisch materiaal
410340009;Homemaking case management;Homemaking case management;homemaking case management;Homemaking casebeheer
410341008;Housing case management;Behuizing case management;behuizing case management;Behuizing case management
410342001;Interaction case management;Interactie case management;interactie case management;interactiemanagement
410343006;Lab findings case management;Lab bevindingen case management;lab bevindingen case management;Lab bevindingen case management
410353007;Safety case management;Safety case management;safety case management;Casebeheer voor veiligheid
410354001;Screening case management;Screening case management;screening case management;Screening casebeheer
410366007;Wellness case management;Wellness case management;wellness case management;Wellness - casebeheer
410425006;Discipline case management;Discipline case management;discipline case management;Discipline casebeheer
410479002;Chorioretinal biopsy;chorioretinale biopsie;chorioretinale biopsie;Chorioretinal biopsie
410538000;Scheduling;scheduling;scheduling;Planning
412690006;Malaria serology;malaria serologie;malaria serologie;Malaria serologie
412692003;Urine coproporphyrin / creatinine ratio;Urine coproporfyrine / creatinine ratio;urine coproporfyrine / creatinine ratio;Urine coproporphyrin / Kreatinine ratio
412735005;Injection snoreplasty;injectie snoreplasty;injectie , snoreplasty;Injectie snoreplasty
412820002;Semen microscopy;sperma microscopie;sperma microscopie;Sperma microscopie
412883003;Crithidia immunofluorescence;Crithidia immunofluorescentie;crithidia immunofluorescentie;Crithidia immunofluorescentie
413024003;Urine pigment analysis;Urine pigment analyse;urine pigment analyse;Urine pigment analyse
413043003;Saliva examination;speeksel onderzoek;speeksel onderzoek;Speeksel onderzoek
413081008;Clopidogrel prophylaxis;clopidogrel profylaxe;clopidogrel profylaxe;Clopidogrel profylaxe
413240005;Chromoscopy;Chromoscopy;chromoscopy;chromatoscopie
413633002;Baloon dacryoplasty;baloon dacryoplasty;baloon dacryoplasty;Ballon dacryoplasty
413651001;Bioptics;Bioptics;bioptics;Bioptics
414788003;Mycobacterial microscopy;mycobacteri ë le microscopie;mycobacteri ë le microscopie;Mycobacteri ë le microscopie
415070008;Percutaneous coronary intervention;Percutane coronaire interventie;percutane coronaire interventie;Percutane coronaire interventie
415092007;Photorefractive keratectomy enhancement;Fotorefractieve keratectomie enhancement;fotorefractieve keratectomie enhancement;Verhoging van de keratectomy van de fotorefractieve
415123009;Pneumocystis jiroveci immunofluorescence;Pneumocystis jiroveci immunofluorescentie;pneumocystis jiroveci immunofluorescentie;Pneumocystis jiroveci immunofluorescentie
